#UniProtKB_ac	UniProtKB_ac	type
Q04439	Q04439	Predicted
P19414	P19414	Curated
Q06406	Q06406	Predicted
P39743	P39743	Predicted
P00360	P00360	Curated
P41834	P41834	Predicted
P32325	P32325	Predicted
P42834	P42834	Predicted
P29055	P29055	Predicted
P00925	P00925	Curated
P47135	P47135	Predicted
Q12018	Q12018	Predicted
Q95017	Q95017	Predicted
Q21648	Q21648	Predicted
Q94420	Q94420	Predicted
Q22289	Q22289	Predicted
O17670	O17670	Predicted
P55853	P55853	Predicted
Q9VCD5	Q9VCD5	Predicted
P48601	P48601	Predicted
